,title,location,requirements,employment_type,industry,function,fraudulent
10,Data Entry / Typist Work At Home,"US, TX, Houston",Must be able to work from home,Full-time,Consumer Services,Customer Service,Fake
11,Contract Aspx.Net Developer,"US, ID, Boise","1+ years of software engineering experienceProficiency with Microsoft .Net technology stackProficiency in #URL_862b1bd7c44398b208c4fc230da692322129f26512aacbf24a5259558aa2d09e# and/or #URL_0aaed4dd8249fd1118f5f4bccfda9c424398cdc4219b8b28c279711b65c5c53d#Proficiency in C#, JavascriptFamiliar with GitFamiliar with AdoFamiliar with MSSQLFamiliar with common Javascript Libraries like jQuery, Handlebars, Lo-DashUnderstanding of Agile/Scrum development process a plus",Contract,Not Mentioned,Not Mentioned,Real
12,3D Printing Engineer,"NL, NB, Eindhoven","BS in technical field1-3 years work experience in a world class manufacturing environmentGood spatial awarenessAre skilled with 3D softwareMeticulous and organizedLove to drive change and continuous improvement by taking initiative and helping othersAre a constructive team player with good social &amp; communication skills, also in situations where electronic communication is the only available medium",Full-time,Information Technology and Services,Production,Real
13,Title Account Executive,"US, FL, Orlando","What you should know:**Experienced candidates only**A successful candidate will have an existing Realtor, Broker, Lender Book of Business and proven track record of meeting and exceeding sales goals.Must have experience in maintaining and developing long term relationships with key decision makers.Ability to travel at least 50% of the time.  Go out and see lot's of potential clients.Licensed Title Agent a plus or ability to pass a background check.",Full-time,Real Estate,Not Mentioned,Real
14,HIPAA Consultant,"US, TX, Dallas","Candidate should be able to:First, Know HIPAA rules and requirements well and have the ability to go into diverse settings and evaluate the sufficiency of compliance practices that organizations have in place (covered entities and business associates) to address each of those applicable requirements. Second, individuals should have deep experience with performing risk analysis efforts required by the Security Rule (full scope ePHI threat/vulnerability analysis, etc.)",Contract,Hospital & Health Care,Consulting,Real
15,Desktop Support / IT Technicians - Start Next Week!,"US, TN, Memphis","Must have excellent communication and writing skills.Demonstrated excellence as an empowering and flexible employee in a dynamic, fast paced, hands-on, high stress environment.Solid judgment, problem solving, decision-making skills and a proven record of taking the initiative and responsibility in using those skills effectively. Both individually and as a member of a team.Detail oriented with the ability to learn detailed processes and methodologiesMust have a professional appearance.Customer Service experience is A+.Must be able to interact with customers, associates, contractors, and vendors in a professional manner to ensure customer satisfaction.Punctual and dependable with reliable transportation.Must be able to perform other duties as assigned by managementEducation:High School DiplomaOther:Must have 6+ months experience working in the desktop support field supporting Windows 2000/XP/Vista clients in a WAN environment.Microsoft Certification A+ or equivalent experience.Comp Tia A+ or equivalent experience.Dell Certified in desktop/laptop diagnosis and repair.Experience with configuring PC's, Laptops and printers.Ability to reimage or refresh laptops and desktops and transfer data accordingly.Experience with troubleshooting and diagnosing problems in person, via telephone, and via email.",Contract,Not Mentioned,Information Technology,Real
16,Customer Service Associate ,US,"Requirements:Experience in imaging, batch printing, catering and stationery servicesHigh school diploma or equivalent (GED) requiredMinimum 1 year customer service related experience requiredMust have at least 1 year experience with copy, print and imaging processesMinimum 1 year experience maintaining and troubleshooting copier MFD equipmentGood working knowledge of PCs and Windows 7Good working knowledge of all MS Office applicationsLifting and/or moving items up to 55 pounds or the maximum allowed by current State Law with or without accommodationsStanding and/or walking for long periods of time with or without accommodations",Full-time,Consumer Services,Customer Service,Real
17,"Senior Software Engineers, C++ for AUTOMOTIVE","GR, I, Marousi",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real
18,iOS Developer,"DE, BE, Berlin","Your profile:You have 3+ years overall OOAD experience with 1+ years of hands-on experience in developing on the iOS platform with xCode and Objective CYou follow Apple Development Best Practices for coding, design and deploymentYou have experience in developing for iPhone, iPad (in a wide variety of generations)You display a strong, hands-on mentality and love to take on responsibility for your own features as well as team commitments/projectsHighly motivated and passionate about programming, you think things through on your own and can convincingly present alternative approaches based on your expert level in team discussions",Not Mentioned,Not Mentioned,Not Mentioned,Real
19,Business Development Associate,"US, CA, Irvine","Prior experience doing business development for a high-growth technology startup2 - 5  years of experience negotiating and managing commercial relationshipsExcellent communication and networking skillsAbility to develop strong business case, financial modelling and understanding legal terms.Track record of maintaining outstanding customer satisfactionStrong understanding of technology and business processesPrior knowledge about customer support and help desk industryExperience working with SaaS products integration will be a big plus",Full-time,Information Technology and Services,Sales,Real
20,PPC Wizard,"IE, , Dublin",Not Mentioned,Full-time,Telecommunications,Marketing,Real
21,Blipp Architect (Full Stack Developer),"GB, LND, London","We need bright, engaging individuals who are excited about the potential Blippar has to genuinely change the world. This role is perfect for experienced full-stack developers with exposure to gaming, augmented reality and mobile web projects. You will be passionate about mobile and the opportunities it offers; imaginative about where you see augmented reality, image-recognition and wearables heading, and excited about delivering the highest quality interactive experiences anywhere in the world.To build blipps you will need to be skilled in hands-on coding and have an excellent, solution-focused mind, with a modular approach to projects.We like our developers to be comfortable with a wide range of technologies, and able to pick up new ones easily. You must have terrific coding ability in JavaScript (jquery), HTML, CSS (bootstrap), object-oriented programming (c++ and or Java) PHP and MySQL. Experience using Python/django, golang, #URL_5543aa46fe37875fcc9e8b278ee02d4a18479d6d208cad289401987349eea211#, 3D engines or gaming engines would be great, but is not vital.You will understand how to work with web services, APIs (Facebook, Twitter, Instagram etc.) and, of course, user authentication (OAuth).The ability to work well a fast-paced, collaborative environment is crucial, as you will be working alongside designers, account managers and the global development team. And you should have excellent written and verbal communication skills in order to work on documentation, guidelines and a wide variety of projects across the business.",Full-time,Internet,Information Technology,Real
22,New Product Development Project Leader,"US, OH, Cleveland",Not Mentioned,Full-time,Not Mentioned,Not Mentioned,Real
23,Wanted: Creative and Motivated Graphic Design Intern - Freelance,"GB, , ",You can produce designs that range from uniform to the quirky; and recognise when each are appropriateKeen interest in designAccess to Photoshop and IllustratorTeam PlayerTime Management Skills - deliver in tight time framesUK Based OnlyExcellent English,Contract,Design,Art/Creative,Real
24,Customer Support Representative,"GR, I, Athens","As a Taxibeat support professional, you must:be fluent in English language, oral and written (see below why)be passionate about helping people solve problems and make their life betterbe a prolific user of touch screen smartphones, and able to help others understand how they work to get down to work.love the Internet and the web based productivity serviceshave great communication skills over the phone and face to face interactions.Note:Please be aware that you might need to have rotating work hours. Taxibeat operates in a 24-hour, 7-day/week industry, so it must support its customers in evening hours and weekends. So please respond accordingly in the questionnaire whether you have restrictions in your working hours.",Not Mentioned,Not Mentioned,Not Mentioned,Real
25,Software Engineer,"US, PA, Philadelphia","We're not language zealots; we believe in using the right tool for the job, and are comfortable with a polyglot codebase. That said, today we lean on:Languages: Scala, JavascriptFrameworks: Storm, Lift, Scalatra, AkkaInfrastructure: AWSDatabases: Cassandra, MySQL (RDS), DynamoDB, Redis, MemcachedFront End: jQuery, Bootstrap(Production experience with any of these technologies is not required. However, candidates will, at a minimum, want to have experience with an object-oriented language like Java, C++, or C#).",Full-time,Internet,Engineering,Real
26,English Teacher Abroad ,"US, ND, Fargo",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,Contract,Education Management,Not Mentioned,Real
27,English Teacher Abroad ,"US, OH, Bowling Green",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,Contract,Education Management,Not Mentioned,Real
28,   Piping Material Engineer,"US, TX, Houston","Qualifications &amp; personal attributes• Higher technical education, MSc / BSc or other relevant experience, preferably within structural or architectural disciplines.• Technical knowledge within the oil industry, preferably 4-7 years' of relevant experience• Knowledge in PDMS is a great advantage• Good knowledge of standards and regulations• Fluent oral and written English• Good communication skills• Must be able to work both independently and in teamsWe offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.",Full-time,Oil & Energy,Engineering,Fake
29,Account Manager -Xbox,"GB, CMD, London",Skills and Experience:2 to 4 years agency/client experienceIntegrated or digital backgroundExperience of localisation/working across multiple markets would be an advantageInterest of or experience in planning/creating content for the gaming industry (in any form) would be ideal.A good understanding of database marketing and experience in segmentation and targeting,Full-time,Marketing and Advertising,Accounting/Auditing,Real
30,English Teacher Abroad ,"US, IL, Macomb",University degree required. TEFL / TESOL / CELTA or teaching experience preferred but not necessaryCanada/US passport holders only,Contract,Education Management,Not Mentioned,Real
31,Marketing Operations Manager,"US, NY, New York","2+ year experience working as a Salesforce Administrator, with experience designing, configuring and customizing Salesforce Extremely proficient with Microsoft Excel for data manipulationBachelor's Degree (Preferred in Computer Science or related field) or Equivalent Education and ExperienceExperience using a marketing automation tool in connection with salesforce (Hubspot experience a plus) Data driven with high attention to detail and obsession with accuracy Desirables (but not required)Salesforce Administrator Certification or Advanced CertificationSalesforce Communities experienceExperience working with InsightSquared Experience with Apex, Visualforce, HTML and JavaScript Google Webmaster Tools and Google Analytics experience Experience working at a fast growing company providing  enterprise B2B SaaS solutions ",Full-time,Computer Software,Marketing,Real
32,Senior Software Engineer - Web,"US, TX, Austin/San Antonio","Essential Duties and Responsibilities: Works closely with other developers and our design team to drive the evolution and expansion of our current product suite.Apply knowledge of Single Page Application web technologies, methodologies, processes and tools to carefully analyze and test software.Conceptualize new software for the company that may expand the suite of products currently offered.Re-factor current application design and/or implementation to support  application enhancement requests.Use design patterns to solve application issues.Create reusable libraries and application service frameworks.Evaluate and research latest technologies.Support production issues.Support software applications to resolve any defects and issues reported.Resolve application performance and scalability issues by identifying the bottle-necks, memory leaks and key areas of improvement.Conduct research on emerging application service development software products, languages and standards in support of procurement and development efforts.Minimum Qualifications: BS/MS in computer science The more of these you know its betterFrameworks: Angular, Ember, D3, DurandalEnvironments:  JVM, AWS, Rackspace cloudProtocols: HTTP, SSL, HTMLLanguages: Ruby, Python, Perl, Java, Bash, Groovy, javascript, html5,css3Persistence: Hibernate, Postgres, Amazon S3, MySQL, Cassandra/GraphSystems Operations: Puppet, Chef , Capistrano, mcollective, Cloudformation, OpenStack, Docker, cfengine, rightscaleCaching: memcached, ehcache, CDNPrinciples: REST, DRY, TDD, Agile, Django frameworks - atleast one is MUSTDesign Patterns, Data Modeling , TDDPaired programing, SVN/GitAgileTest frameworks: Watir, Junit, Selenium, Nose, Team City 6+ years experience in application development ",Full-time,Oil & Energy,Engineering,Real
33,Senior Visual Designer,"US, NY, Brooklyn","Obvious Stuff:A strong awareness of common usability methods and principlesHighly collaborative spirit and also capable of working independentlyStrong understanding of user interactions, pattern implementationUnderstanding of brand cohesiveness within a digital productExcellent verbal, written, organizational and presentation skillsFluent in Adobe Creative Suite (Illustrator, Photoshop, InDesign)Less Obvious Stuff:Simultaneously work with product and engineering on multiple interrelated projectsFirm grasp of information architectureExperience designing analytic dashboards and/or data visualizationsA natural inclination to simplify, bring order to complex data setsBe an advocate for an integrated consistent UI FrontEnd Experience (with HTML, CSS, JavaScript) is a big plusExperience in enterprise product/B2B/Saas/HR would be great5+ years Visual UI design experienceFlexibility is a must, evolving with our product and processes will be crucial",Full-time,Design,Design,Real
34,Web Designer,"GR, I, Athens",Πριν αποφασίσεις να μας στείλεις το βιογραφικό σου κάνε ένα γρήγορο έλεγχο στις προϋποθέσεις που πιστεύουμε ότι πρέπει να έχεις :να έχεις ολοκληρώσει με επιτυχία τις σπουδές σου σε κάποια Ανώτερη ή Ανώτατη Σχολή στην Ελλάδα ή στο εξωτερικό σε αντικείμενο που να έχει σχέση με το Graphic Design να έχεις τουλάχιστον 2 χρόνια προϋπηρεσία σε αντίστοιχη θέση στην Ελλάδα ή το εξωτερικόνα έχεις πολύ καλές γνώσεις σε εργαλεία και εφαρμογές σχεδίασης να έχεις διαθέσιμο portfolio με έργα που έχεις δουλέψει στο άμεσο παρελθόν ,Full-time,Graphic Design,Art/Creative,Real
35,Systems Engineer,"GB, LND, London","Clothes (When in the office, optional when working from home)Sense of humour",Full-time,Computer Software,Engineering,Real
36,Support,"IL, , ",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real
37,Creative Technologist,"GB, LND, ","Without doubt an exciting challenge we are looking for experienced creative and technology professionals that share blippar's dream of making amazing things at the cutting edge of mobile technology. Ideally you will have both: leadership ability that will allow you to realise projects through leveraging internal resources and your own technical and creative ability to deliver work. Key in this role is your ability to 'rabid prototype', i.e quickly assemble working models of apps, games and campaigns. We dont mind where you come from as long as you have a portfolio of amazing work and love working in fast paced environments. Ideally you will have:Knowledge of front end development skillsExperience using Adobe Creative Suite and 3D modeling toolsUnderstanding of mobile app and game designUnderstanding of all emerging technologies across mobile, wearables and ARInnovative and creative flairA passion for making amazing things",Full-time,Not Mentioned,Not Mentioned,Real
38,New Product Development Project Leader,"US, GA, Atlanta",Not Mentioned,Full-time,Not Mentioned,Not Mentioned,Real
39,Seeking Chef (Recent Graduate only),"US, VA, Fairfax",Not Mentioned,Full-time,Restaurants,Not Mentioned,Real
40,Informatica MDM Solution Architect,"US, NJ, Avenel","• Sound Knowledge of multiple MDM architectures and business processes across multiple master data domains e.g.Customer , Vendor and material• Should have led and participated in minimum 2 end-to-end MDM implementations including requirement gathering , architecture , development/configuration and deployment etc• Should have participated in pre-sales activities e.g. Solution definition , Build PoCs (Proof of Concept) Effort estimation , Proposal presentation , providing MDM SME (Subject Matter Expert) inputs• Should have performed conceptual/logical/physical data modeling to support MDM implementations• Should have evaluated MDM architectures , Tools and Platforms for customer requirements• Should have good knowledge of data quality management and associated tools &amp; platform",Contract,Information Technology and Services,Information Technology,Real
41,Freelance writer/analyst for Brazil/LatAm,"BR, , ","We're looking to strenghten our presence and coverage of Brazil and other Latin American markets.Ideal candidates will have:          --- experience working in journalism, either print, broadcast or online, as reporters, editors, bloggers, etc.          --- an understanding of the business aspects of traditional and digital media          --- another part-time or full-time position, but have flexible availability to complete assignments from the AIM Group and Classified Intelligence Report as mutually agreed          --- a strong command of written and spoken English, and additional language(s) as appropriate to their markets          --- strong familiarity with digital media, including trends and structuresPlease answer the following questions (in English):         --- What types of business reporting have you done, and what publications?         --- How long have you been a freelance writer?          --- Do you interview people for your articles?         --- Which is your native language, and which are secondary? Where did you learn your secondary languages?         Please provide links to several of your recent articles.",Contract,Internet,Writing/Editing,Real
42,"Regional Vice President - Chicago, IL","US, OH, Cleveland","Job Title: Regional Vice President - 7+ Years' Experience - Chicago, ILJob Location: Job is in Chicago, ILA SAP RVP, Regional Vice President is required having 7+ years of recent direct, outside sales management selling software.Visit  : #URL_ec64af2b4fe2ca316e828f93b0cd098c22f8beba98dcac09d4dd7384b221a5e8#-#URL_9753a54b28303bf636a2816399b9c255d76fabb791336a4c748da2611a23264f#",Full-time,Management Consulting,Management,Real
43,"Digital Marketing Coordinator, Singapore","SG, 01, ","Bachelor's or Master's Degree in Communications, Marketing or Advertising preferredMinimum 2 years experience with proven track record of working with clientsPassionate about all things digital and social mediaEntrepreneurial spirit, independent, not afraid to take on new challengesCreative and capable of thinking outside the boxTarget-driven and solution-oriented with high energy levelExcellent command of Microsoft Office, especially PowerPoint and ExcelExcellent command of English and great communication skillsPlus, as the "dream" candidate you will bring with you one or more of the following:Excellent copywriting skillsFluency in additional South East Asian languageCommand of Adobe Design software (e.g. Photoshop, Indesign etc.)",Full-time,Marketing and Advertising,Other,Real
44,Database Expert ,"DE, BE, Berlin","Degree in Computer Science/ Software Engineering/ Electrical Engineering with strong competencies in data structures, data storage and software design.8+ years experience with Databases, JVM-based languages and developing and running large scale databases/-warehouses in production.General knowledge of distributed big data and overview of SQL, NoSQL and NewSQL approaches.In depth knowledge about several solutions out of Hadoop, Riak, MongoDB/CouchDB and PostgreSQL is a core requirement.You follow the open source community projects git, Maven, Jenkins, JIRA, etc. are your tools.Solid team player with good communication skills and experience in an Agile environment.",Full-time,Information Technology and Services,Engineering,Real
45,Community Ambassador French-speaking (Remote),"FR, , France ","Are you a dynamic, motivated, outgoing networker? Do you have an entrepreneurial spirit? Do you want to help your friends to save money and avoid the bank's hidden fees? Would you like to make extra money? If yes, you're in luck – we're looking for Community Ambassadors to help us spread the word and bring transparency to financial services.The application and more information can be found at #URL_bf2576bea1a6e9d0d71089e036ebe1a6ae3b71afbdbfad4cab1d49fb38ec84d9#Please note that Community Ambassadors are not official contracted employees of TransferWise. The only form of compensation will be conversion-based payment. There is no contract between TransferWise and the Ambassador.",Not Mentioned,Not Mentioned,Marketing,Real
46,Userbase Manager,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real
47,Now Hiring Oil and Energy Professionals,"US, PA, ",Now Hiring!Project ManagementCorporate / Business DevelopmentEngineeringExploration &amp; ProductionOperationsSurface DrillingSubsea / OffshoreProcess &amp; Compression SystemsFracingWell ServicesTransportationLandmen ServicesRefiningProcess &amp; Compression SystemsTechnology / ResearchTransmissionLight Natural GasGas ProcessingChemicalsMining,Full-time,Oil & Energy,Not Mentioned,Real
48,Applications Engineer,"US, FL, Tampa",Not Mentioned,Full-time,Not Mentioned,Engineering,Real
49,UX Designer,"GB, LND, London",About You:Experience designing for mobile devicesExcellent communication skillsExcellent information visualization skillsLo-fi &amp; hi-fi prototyping skills,Full-time,Internet,Design,Real
50,Business Development Lead,"GB, LND, ","Experience of enterprise business development at a financial or financial technology companyEnthusiasm for new, disruptive technologiesExperience of gaining adoption of new products in nascent marketsOutstanding communication and presentation skills - both over the phone and in personTrack record of developing a sales funnel and growing a businessA thorough understanding of Bitcoin and other block chain technologiesA network of contacts within the digital currency industryWillingness to travel ",Full-time,Financial Services,General Business,Real
51,Junior Account Manager,"GR, I, Athens",Not Mentioned,Not Mentioned,Not Mentioned,Sales,Real
52,Frontend Engineer (Angular.js),"US, CA, Palo Alto",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Real
53,Customer Success Manager,"DE, BE, Berlin","You are a digital native, with a technical understanding of Web technologies (HTML, CSS, JS, APIs) to understand both Contentful's product and our target customers, to then help our customers to successfully use our product.You love working with people, enjoy building relationships and understand the value of nurturing them.Excellent English communication skills, verbally and written (German not required)You are an analytical thinker. You dominate Excel and analytics tools to measure how customers behave and where we can improve our product and process.You get stuff done. We are looking for someone we can trust to do a good job without much handholding - you should enjoy responsibility and have your own ideas on how to mitigate churn and drive user adoption.Familiarity with Totango, Zendesk and Salesforce is a plus",Full-time,Internet,Not Mentioned,Real
54,"Director, Supply Chain - Strategy","US, MO, St. Louis",Not Mentioned,Full-time,Marketing and Advertising,Not Mentioned,Real
55,Quick Service Attendant,"CA, BC, Vancouver","If you are 19 years or older and would like to be considered for a position within our Quick Service  team please apply by clicking on the link below or sending your resume to #EMAIL_b80737ecf013a0d9eb4aa2567f41dbbfcb0533f564f273612ad54a9871dd83e2#, and we will advise you of our next open interview date.",Part-time,Hospitality,Customer Service,Real
56,Production Operator,"US, MA, Haverhill ",Required SkillsGeneral mechanical skillFamiliarity with using a computer to enter informationFlexibility in performing changing assignments and work schedulesAbility to lift heavy containers and use material handling equipment,Not Mentioned,Not Mentioned,Manufacturing,Real
57,QC Inspector,"US, TX, Houston",Qualifications &amp; personal attributes• Relevant QC inspection experience - Essential• HNC or equivalent in Mechanical Engineering - Desirable• Trade qualification in Mechanical Engineering - Desireable,Full-time,Oil & Energy,Engineering,Fake
58,Director of Marketing,"CA, ON, Toronto","Duties and Responsibilities•    Direct and execute the growth and acquisition strategies both paid and unpaid.•    Lead and develop email and direct mail campaigns.•    Develop and deliver reports on key metrics to show success in campaigns.•    Create new innovative products, contents and features that drive virality.•    Promote Vantage &amp; growing a community of loyal supporters through email and all social media channels.•    Create / execute social media strategy, content marketing plan, editorial calendar.•    Coordinate the social components of live events.Qualifications and Experience•    Excellent verbal communications and writing skills.•    Strong skills in producing creative copy/marketing pieces•    Strong SEO and SEM skills•    Demonstrable experience with analytics tools and data mining large data sets to produce creative and successful user acquisition, engagement and retention models•    Experience with viral/paid acquisition; content marketing and promotions; e-mail marketing; branding•    A/B and multivariate testing experience•    Social media / email experience that produced tangible and measurable results•    Experience with databases and mining data via Excel and SQL•    Experience with running usability tests, holding conversations with customers, customer evangelism, and customer-focused product development and outreach•    Strong interest in learning about customers behavior through objective metrics and subjective qualities•    Experience working on both Web mobile with beginner to mid HTML and CSS skills•    Ability to lead in an environment of constant change. •    Familiarity and skill with the tools of the trade in marketing including PR, written communication, social media, market research, visual communication software products, and creative services.•    Experience in developing communications plans and addressing complex issues.•    Demonstrated time management, organizational and prioritization skills.•    Prior startup experience",Full-time,Internet,Marketing,Real
59,Industrial Engineer,"NL, NB, Eindhoven","A Bachelor or Masters of Science in applicable field (electrical or mechanical engineering)2+ years work experience in complex project managementManufacturing/plant start-up experienceHave strong organizational and communications skillsHave a creative can-do attitude to get the job doneAre able to outperform on project quality, budget and timelineAre able to lead complex projects from start to finish managing internal and external stakeholdersAre proactive and independent, requiring minimal directionMonitors and evaluates work flow and assembly methods and makes recommendations for process improvements",Full-time,Information Technology and Services,Engineering,Real
60,Head of Human Resources,"US, CA, San Francisco","- Job Experience: 6 - 15 Years- Education: Bachelor's Degree - Eligibility:   * EAD / Green Card Holders / US Citizens, currently residing in US only  * Visa candidates will not be considered- Major Skill-sets:  * 6+ yrs of professional Recruitment experience, preferably Technical Recruitment  * Worked in a Start-up environment  * Managed a team of recruiters  * Familiar with Progressive Recruiting technologies  * Excellent Communication skills",Full-time,Marketing and Advertising,Human Resources,Real
61,Call Center Representative,"US, TX, HOUSTON","QUALIFICATIONSHigh school diploma/GED required, college experience preferredMust have  at least two years experience in call center environment, outbound calling preferred.Excellent communication skills",Full-time,Telecommunications,Customer Service,Fake
62,Business Operations Manager,"US, NY, New York",2-4 years of professional work experience.Passion for technology and digital media; eager to learn new software platforms.Strong academic record and analytical background.Highly adaptable and comfortable with rapid change.Detail-oriented and deadline-driven.Strong verbal and written communication skills.Interested and/or experience working with an international team and collaborating across cultures.,Full-time,Internet,Business Analyst,Real
63,Office Manager/ Production Assistant,"US, CA, Brisbane","Bachelor's degree2 years experience in an office and/or film production setting; Recruiting or HR experience a plusThe desire to work for a small, enthusiastic startupStrong leadership and conflict resolution skillsAbility to self-motivate and anticipate employee needsExcellent verbal and written communication skills",Part-time,Not Mentioned,Not Mentioned,Real
64,"HR Recruiter--Grand Junction, CO","US, CO, Grand Junction","Position Requirements:High school diploma or equivalentMinimum of one year experience in an office settingHuman Resource experience preferred, but not required.",Part-time,Not Mentioned,Not Mentioned,Real
